,예보시각,예보
922,2018-07-11,구름많음
923,2018-07-12,구름많음
924,2018-07-13,구름많음
925,2018-07-14,구름많음
926,2018-07-15,구름많음
927,2018-07-16,구름많음
928,2018-07-17,구름많음
929,2018-07-18,구름많음
930,2018-07-19,구름많음
931,2018-07-20,구름많음
932,2018-07-21,구름조금
933,2018-07-22,구름조금
934,2018-07-23,구름조금
935,2018-07-24,구름조금
936,2018-07-25,구름조금
937,2018-07-26,구름많음
938,2018-07-27,구름조금
939,2018-07-28,구름조금
940,2018-07-29,구름조금
941,2018-07-30,구름조금
942,2018-07-31,구름조금
943,2018-08-01,구름조금
944,2018-08-02,구름조금
945,2018-08-03,구름조금
946,2018-08-04,구름조금
947,2018-08-05,구름조금
